mag|my_date|netto
047|2019-11-04|3649.31
047|2019-11-07|4149.61
047|2019-11-21|3614.83
047|2019-11-12|3825.29
047|2019-11-14|2772.43
047|2019-11-22|4563.72
047|2019-11-25|3231.04
047|2019-11-18|3946.48
047|2019-11-15|3786.91
047|2019-11-27|3599.73
047|2019-11-13|4104.13
047|2019-11-28|4604.12
047|2019-11-29|4607.97
047|2019-11-19|3367.37
047|2019-11-30|3740.52
047|2019-11-16|2372.26
047|2019-11-05|3157.58
047|2019-11-20|3419
047|2019-11-08|4060.61
047|2019-11-26|3415.12
047|2019-11-06|3687.41
047|2019-11-23|1944.5
047|2019-11-02|1514.49
047|2019-11-09|3803.43
047|2019-12-24|3204.21
047|2019-12-05|6145.77
047|2019-12-06|5618.76
047|2019-12-27|2468.12
047|2019-12-23|8203.92
047|2019-12-20|6940.07
047|2019-12-30|3953.24
047|2019-12-09|3151.49
047|2019-12-13|4932.72
047|2019-12-17|5425.95
047|2019-12-02|3663.87
047|2019-12-12|4262.45
047|2019-12-31|2587.34
047|2019-12-11|5410.99
047|2019-12-14|2702.38
047|2019-12-16|5354.54
047|2019-12-07|2669.1
047|2019-12-04|3570.18
047|2019-12-21|4195.72
047|2019-12-03|3385.13
047|2019-12-19|4557.49
047|2019-12-10|4546.91
047|2019-12-18|6232.91
047|2019-12-28|1522.78
047|2020-01-07|3470.89
047|2020-01-17|5453.69
047|2020-01-16|4634.45
047|2020-01-10|4335.88
047|2020-01-24|5083.87
047|2020-01-15|5068.24
047|2020-01-04|1661.21
047|2020-01-13|5304
047|2020-01-25|2483.64
047|2020-01-27|3628.83
047|2020-01-29|5247.87
047|2020-01-14|4154.06
047|2020-01-03|3587.64
047|2020-01-21|4847.81
047|2020-01-02|2771.79
047|2020-01-22|4330.72
047|2020-01-18|3647.07
047|2020-01-09|2771.04
047|2020-01-11|3023.3
047|2020-01-31|3023.39
047|2020-01-23|5342.51
047|2020-01-08|3300.67
047|2020-01-28|4297.44
047|2020-01-30|3234.03
047|2020-01-20|5147.87
047|2020-02-26|2645.11
047|2020-02-12|3319.09
047|2020-02-01|2594.94
047|2020-02-14|4349.62
047|2020-02-18|3206.28
047|2020-02-11|3432.6
047|2020-02-04|2620.5
047|2020-02-22|1880.92
047|2020-02-13|3540.1
047|2020-02-20|3839.57
