mag|my_date|netto
165|2019-11-15|6141.3
165|2019-11-04|4745.32
165|2019-11-05|5870.58
165|2019-11-26|5256.52
165|2019-11-18|4377.31
165|2019-11-08|8360.49
165|2019-11-12|5586.39
165|2019-11-14|5654.64
165|2019-11-25|5477.49
165|2019-11-22|6161.98
165|2019-11-23|7288.56
165|2019-11-29|10534.8
165|2019-11-24|5416.55
165|2019-11-07|5562.39
165|2019-11-09|9430.61
165|2019-11-16|7602.89
165|2019-11-20|4603.85
165|2019-11-06|5158.22
165|2019-11-28|5455.6
165|2019-11-21|3854.93
165|2019-11-30|6266.73
165|2019-11-19|4203.05
165|2019-11-13|5744.47
165|2019-11-27|4536.81
165|2019-11-02|7975.63
165|2019-12-07|7762.54
165|2019-12-10|7695.97
165|2019-12-20|13242.41
165|2019-12-17|9410.26
165|2019-12-12|8194.25
165|2019-12-03|4792.81
165|2019-12-24|8083.23
165|2019-12-13|9188.22
165|2019-12-27|11057.74
165|2019-12-23|22424.74
165|2019-12-30|9639.85
165|2019-12-06|8185.19
165|2019-12-31|4916.18
165|2019-12-11|6091.6
165|2019-12-28|9603.52
165|2019-12-04|5046.34
165|2019-12-02|5818.96
165|2019-12-18|12012.45
165|2019-12-22|15967.77
165|2019-12-15|7986.05
165|2019-12-09|6182.44
165|2019-12-29|5924.32
165|2019-12-19|13586.52
165|2019-12-16|8949.66
165|2019-12-14|9403.29
165|2019-12-21|15821.21
165|2019-12-05|6120.81
165|2020-01-09|4749.76
165|2020-01-22|3524.24
165|2020-01-31|6752.06
165|2020-01-07|6777.69
165|2020-01-14|4729.53
165|2020-01-11|7653.9
165|2020-01-27|4127.05
165|2020-01-03|6333.82
165|2020-01-25|4955.33
165|2020-01-20|4977.5
165|2020-01-21|5138.18
165|2020-01-29|4917.49
165|2020-01-02|5768.22
165|2020-01-28|3949.14
165|2020-01-17|6447.67
165|2020-01-24|6465.56
165|2020-01-08|4987.43
165|2020-01-18|5713.27
165|2020-01-30|4408
165|2020-01-04|6434.33
165|2020-01-13|5775.74
165|2020-01-16|4999.75
165|2020-01-26|3059.64
165|2020-01-23|4283.55
165|2020-01-10|7020.73
165|2020-01-15|5337.07
165|2020-02-19|4680.29
165|2020-02-22|6257.51
165|2020-02-01|6866.66
165|2020-02-07|5043.78
165|2020-02-08|6297.84
165|2020-02-05|4645.51
165|2020-02-06|3858.36
165|2020-02-13|6847.39
165|2020-02-12|4775.33
165|2020-02-27|5793.63
165|2020-02-17|4729.48
165|2020-02-10|5722.27
165|2020-02-15|6361.32
165|2020-02-28|6471.83
165|2020-02-25|3820.58
165|2020-02-11|5081.74
165|2020-02-26|4031.1
165|2020-02-04|3275.99
165|2020-02-21|5627.85
165|2020-02-24|4836.97
165|2020-02-03|4574.61
165|2020-02-29|7370.3
165|2020-02-20|4506.75
165|2020-02-14|8556.34
165|2020-02-18|4837.85
165|2020-03-24|1197.44
165|2020-03-13|5396.53
165|2020-03-18|611.82
165|2020-03-14|2345.61
165|2020-03-03|4523.84
165|2020-03-02|5867.88
165|2020-03-07|6663.22
165|2020-03-05|4438.02
165|2020-03-21|801.15
165|2020-03-23|1290.34
165|2020-03-20|710.19
165|2020-03-12|4563.43
165|2020-03-16|742.49
165|2020-03-09|5210.76
165|2020-03-11|5344.93
165|2020-03-17|907.69
165|2020-03-06|6509.23
165|2020-03-19|972.71
165|2020-03-10|5624.01
165|2020-03-04|5000.84
165|2020-05-29|3673.91
165|2020-05-09|2765.07
165|2020-05-22|3196.79
165|2020-05-18|2750.41
165|2020-05-04|3410.02
165|2020-05-12|2595.61
165|2020-05-11|3511.6
165|2020-05-21|2511.38
165|2020-05-16|3478.29
165|2020-05-15|2171.83
165|2020-05-07|3383.87
165|2020-05-25|3101.14
165|2020-05-08|3852.16
165|2020-05-19|2822.92
165|2020-05-28|2635.26
165|2020-05-23|4930.07
165|2020-05-05|3954.12
165|2020-05-20|3175.42
165|2020-05-14|2023.9
165|2020-05-30|3522.25
165|2020-05-26|2625.74
165|2020-05-27|2704.13
165|2020-05-06|2418.51
165|2020-05-13|3308.94
165|2020-06-04|4928.81
165|2020-06-26|3388.56
165|2020-06-16|4039.24
165|2020-06-05|4101.17
165|2020-06-22|4895.46
165|2020-06-27|3773.83
165|2020-06-13|4325.4
165|2020-06-19|4962.78
165|2020-06-09|4296.68
165|2020-06-08|3736.64
165|2020-06-10|3963.31
165|2020-06-12|6154.51
165|2020-06-01|4857.91
165|2020-06-29|3713.96
165|2020-06-23|4065.75
165|2020-06-02|3525.89
165|2020-06-15|4738.12
165|2020-06-06|4540.01
165|2020-06-24|4395.35
165|2020-06-17|2991.88
165|2020-06-30|4885.4
165|2020-06-03|3557.8
165|2020-06-18|4353.85
165|2020-06-25|3821
165|2020-06-20|5868.37
165|2020-06-28|2458.09
165|2020-07-10|5304.66
165|2020-07-15|3543.3
165|2020-07-29|3148.49
165|2020-07-07|4404.52
165|2020-07-18|3343.66
165|2020-07-28|2122.84
165|2020-07-14|3723.3
165|2020-07-02|4160.74
165|2020-07-16|4310.28
165|2020-07-03|4478.39
165|2020-07-22|3255.54
165|2020-07-06|3513.63
165|2020-07-20|3409.23
165|2020-07-21|4170.6
165|2020-07-25|3216.33
165|2020-07-31|3449.73
165|2020-07-11|3505.07
165|2020-07-04|3264.15
165|2020-07-09|4708.88
165|2020-07-24|4022.13
165|2020-07-08|3791.35
165|2020-07-17|4721.81
165|2020-07-27|4022.86
165|2020-07-01|3516.65
165|2020-07-23|4098.56
165|2020-07-13|5318.55
165|2020-07-30|3521.18
165|2020-08-19|4020.72
165|2020-08-29|5120.64
165|2020-08-04|4435.21
165|2020-08-17|4697.37
165|2020-08-13|4666.96
165|2020-08-10|5328
165|2020-08-21|3576.55
165|2020-08-22|3175.95
165|2020-08-08|3774.13
165|2020-08-26|4338.42
165|2020-08-01|4768.32
165|2020-08-12|2904.39
165|2020-08-30|3144.06
165|2020-08-25|5267.59
165|2020-08-20|4569.83
165|2020-08-31|5091.8
165|2020-08-05|4662.65
165|2020-08-27|5040.15
165|2020-08-06|4706.79
165|2020-08-11|3913
165|2020-08-28|5313.03
165|2020-08-24|3459.07
165|2020-08-03|5201.06
165|2020-08-18|4641.31
165|2020-08-07|5000.76
165|2020-08-14|4100.25
165|2020-09-05|4055.26
165|2020-09-29|5545.8
165|2020-09-30|4649.41
165|2020-09-08|3368.75
165|2020-09-19|4451.58
165|2020-09-16|4643.92
165|2020-09-03|3638.22
165|2020-09-21|4158.96
165|2020-09-23|3581.86
165|2020-09-28|5114.35
165|2020-09-24|5003.63
165|2020-09-26|5778.71
165|2020-09-09|3657.98
165|2020-09-18|6492.17
165|2020-09-12|5050.03
165|2020-09-15|3822.04
165|2020-09-04|4090.16
165|2020-09-22|4069.45
165|2020-09-01|3805.04
165|2020-09-11|4327.72
165|2020-09-07|3399.96
165|2020-09-10|5017.79
165|2020-09-14|4305.43
165|2020-09-17|4368.12
165|2020-09-02|4524.49
165|2020-09-25|5074.81
165|2020-10-23|4834.14
165|2020-10-26|2814.32
165|2020-10-30|3840.69
165|2020-10-15|5189.66
165|2020-10-08|5321.12
165|2020-10-24|4568.67
165|2020-10-28|3008.93
165|2020-10-03|5141.34
165|2020-10-01|4238.33
165|2020-10-20|4246
165|2020-10-31|3900.62
165|2020-10-21|3399.47
165|2020-10-19|3417.67
165|2020-10-22|3608.46
165|2020-10-09|7044.42
165|2020-10-13|3782.1
165|2020-10-10|6733.09
165|2020-10-06|5181.29
165|2020-10-14|4429.26
165|2020-10-05|4231.08
165|2020-10-02|5119.83
165|2020-10-17|5016.85
165|2020-10-16|4815.9
165|2020-10-07|4571.91
165|2020-10-27|2695.91
165|2020-10-29|3629.9
165|2020-10-12|4355.87
165|2020-11-03|3487.09
165|2020-11-13|2512.27
165|2020-11-02|3416.56
165|2020-11-27|3840.3
165|2020-11-17|2203.96
165|2020-11-28|7977.21
165|2020-11-10|2498.15
165|2020-11-19|3141.39
165|2020-11-25|1648.28
165|2020-11-26|2128.71
165|2020-11-18|1639.18
165|2020-11-24|2245.63
165|2020-11-12|2374.82
165|2020-11-06|7048.04
165|2020-11-04|4373.58
165|2020-11-30|5102.24
165|2020-11-20|3781.78
165|2020-11-05|7013.01
165|2020-11-16|1754.77
165|2020-11-14|3462.74
165|2020-11-21|4083.91
165|2020-11-23|2460.97
165|2020-11-07|1870.25
165|2020-11-09|1998.84
