mag|miasto
801|TARNOWSKIE G”RY
301|RYBNIK
300|ZABRZE
302|WARSZAWA
303|PRUDNIK
304|OSTROW WIELKOPOLSKI
306|WIELUN
305|SWIDNICA
307|TARNOW
308|PU£AWY
309|CIECHANOW
310|RUDA SLASKA
312|SUWALKI
315|CHELMZA
316|MALBORK
317|LUBSKO
318|SULEJOWEK
320|BRZEG
321|JELENIA GORA
322|JASTRZEBIE ZDROJ
323|KROSNO
324|W•BRZEèNO
325|WARSZAWA
326|MLAWA
327|CZECHOWICE-DZIEDZICE
329|KWIDZYN
330|LUBLIN
331|RZESZ”W
332|KEDZIERZYN KOZLE
334|WODZISLAW SLASKI
335|POZNAN
336|OPOCZNO
337|LODZ
338|BYDGOSZCZ
339|BIALYSTOK
340|PRZEWORSK
341|PRZEWORSK
342|KETRZYN
343|KATOWICE
344|LUBLIN
345|KRASNYSTAW
346|LUBART”W
347|LUBLIN
348|GOLDAP
349|BUSKO-ZDR”J
350|PI—CZ”W
351|BRANIEWO
352|NOWY TARG
353|BRZESKO
354|LUBLIN
355|ØNIN
356|SIEDLCE
357|£EBA
358|STASZ”W
359|BEZRZECZE
360|BYDGOSZCZ
361|STEGNA
362|KRAK”W
363|BYDGOSZCZ
365|TOMASZ”W LUBELSKI
364|LUBART”W
366|WA£CZ
367|BYDGOSZCZ
368|£”Dè
803|TARNOWSKIE G”RY
804|PARZNIEW
805|PI£A
806|NIDZICA
807|SKIERNIEWICE
802|WARSZAWA
369|LEGNICA
370|KO£OBRZEG
371|OLEåNICA
372|JAROS£AW
373|KADZID£O
808|ZABRZE
809|åWINOUJåCIE
374|RADOM
375|GRYFICE
376|ZIELONA G”RA
377|SANOK
378|I£AWA
379|SIERPC
380|KIELCE
381|LUBLIN
382|JAROS£AW
383|WARSZAWA-REMBERT”W
384|NOWE MIASTO NAD PILIC•
385|KORONOWO
386|ZAG”RZ
387|PSZCZYNA
388|O£AWA
389|BRODNICA
390|GOLUB DOBRZY—
391|WARSZAWA
112|BLONIE
069|D BICA
070|CHE£MNO
071|ZGIERZ
072|KATOWICE
073|PIOTRKOW TRYBUNALSKI
074|BRANIEWO
075|RUMIA
076|£ CZNA
077|NOWY DWOR MAZOWIECKI
082|WLOCLAWEK
081|ZARY
078|OLSZTYN
083|LUBA—
